Algorithm,Size,Case,Time (s),Time StdDev,Comparisons,Steps
Linear Search,1000,best,1.8999970052391291e-06,1.0770325153945618e-06,1.0,1.0
Binary Search,1000,best,3.2800046028569342e-06,1.6690131623637472e-06,17.0,9.0
Jump Search,1000,best,2.820001100189984e-06,1.8669767251573557e-06,2.0,2.0
Exponential Search,1000,best,1.0400020983070134e-06,3.9799127777619103e-07,1.0,1.0
Fibonacci Search,1000,best,5.019997479394078e-06,1.5663997400518283e-06,8.0,23.0
Interpolation Search,1000,best,1.8599967006593943e-06,1.1394726866754214e-06,1.0,1.0
Linear Search,5000,best,1.2800039257854223e-06,8.908453570047054e-07,1.0,1.0
Binary Search,5000,best,3.3400021493434908e-06,8.93528110730509e-07,23.0,12.0
Jump Search,5000,best,1.819999306462705e-06,1.2448315365944585e-06,2.0,2.0
Exponential Search,5000,best,6.999995093792677e-07,3.033202059969964e-07,1.0,1.0
Fibonacci Search,5000,best,4.89999947603792e-06,8.694791836853217e-07,9.0,27.0
Interpolation Search,5000,best,9.400042472407222e-07,3.826196620014634e-07,1.0,1.0
Linear Search,10000,best,9.7999582067132e-07,5.706099909877957e-07,1.0,1.0
Binary Search,10000,best,3.460003063082695e-06,6.374975782802484e-07,25.0,13.0
Jump Search,10000,best,1.6600009985268115e-06,7.787211037038932e-07,2.0,2.0
Exponential Search,10000,best,7.399998139590025e-07,2.332358588457668e-07,1.0,1.0
Fibonacci Search,10000,best,5.199998850002885e-06,7.183271457773735e-07,10.0,29.0
Interpolation Search,10000,best,9.400013368576765e-07,3.8781343926910645e-07,1.0,1.0
Linear Search,20000,best,1.6600039089098574e-06,1.593236836212355e-06,1.0,1.0
Binary Search,20000,best,3.4999975468963385e-06,8.07464109295908e-07,25.0,13.0
Jump Search,20000,best,1.920002978295088e-06,1.4413906743703981e-06,2.0,2.0
Exponential Search,20000,best,6.599962944164872e-07,2.7276229657417254e-07,1.0,1.0
Fibonacci Search,20000,best,5.3599971579387786e-06,8.30902094422267e-07,10.0,31.0
Interpolation Search,20000,best,9.400071576237679e-07,4.317439503848733e-07,1.0,1.0
Linear Search,50000,best,1.8999999156221747e-06,1.991984200950736e-06,1.0,1.0
Binary Search,50000,best,4.579999949783087e-06,2.41611201766499e-06,27.0,14.0
Jump Search,50000,best,2.099998528137803e-06,1.6552939532625983e-06,2.0,2.0
Exponential Search,50000,best,7.399998139590025e-07,2.332358588457668e-07,1.0,1.0
Fibonacci Search,50000,best,5.639999289996922e-06,9.457270488874202e-07,10.0,33.0
Interpolation Search,50000,best,1.0400050086900593e-06,5.351618368057002e-07,1.0,1.0
Linear Search,100000,best,2.540001878514886e-06,2.854190976919437e-06,1.0,1.0
Binary Search,100000,best,4.300000728107989e-06,1.603744761323114e-06,27.0,14.0
Jump Search,100000,best,2.220002352260053e-06,1.7959951230474326e-06,2.0,2.0
Exponential Search,100000,best,7.600028766319156e-07,2.727599491076086e-07,1.0,1.0
Fibonacci Search,100000,best,5.920001422055066e-06,1.2592080600852458e-06,10.0,34.0
Interpolation Search,100000,best,1.1399970389902592e-06,7.391863410638595e-07,1.0,1.0
